,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
103551,proton,All_or_Total,37,All_or_Total,Other,Lab,65200000.0,200000.0,0.072,0.012,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,5,No Pointer,52,"52-TE-125(P,4N)53-I-122,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215005,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103552,proton,All_or_Total,37,All_or_Total,Other,Lab,61000000.0,300000.0,0.078,0.012,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,5,No Pointer,52,"52-TE-125(P,4N)53-I-122,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215005,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103553,proton,All_or_Total,37,All_or_Total,Other,Lab,54300000.0,400000.0,0.162,0.026,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,5,No Pointer,52,"52-TE-125(P,4N)53-I-122,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215005,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103554,proton,All_or_Total,37,All_or_Total,Other,Lab,48800000.0,500000.0,0.294,0.047,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,5,No Pointer,52,"52-TE-125(P,4N)53-I-122,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215005,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103555,proton,All_or_Total,37,All_or_Total,Other,Lab,43800000.0,200000.0,0.42,0.067,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,5,No Pointer,52,"52-TE-125(P,4N)53-I-122,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215005,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103556,proton,All_or_Total,37,All_or_Total,Other,Lab,38800000.0,300000.0,0.291,0.047,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,5,No Pointer,52,"52-TE-125(P,4N)53-I-122,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215005,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103557,proton,All_or_Total,111,All_or_Total,Other,Lab,120000000.0,2507382.5328628,0.0095,0.002375,0.0,0.0,Other,"N.G.Zaitseva,ET.AL. (62) ",A0916,9,No Pointer,52,"52-TE-125(P,2P)51-SB-124,,SIG","Investigation of nuclear reactions of the (p,xn) and (p,2pxn) type on separated tellurium isotopes.",1962,N.G.Zaitseva+,4ZZZDUB,2012/01/03,"Jour. Applied Radiation and Isotopes Vol.55, p.149, 2001",A0916009,A0916,"(J,ARI,55,149,2001)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103558,proton,All_or_Total,111,All_or_Total,Other,Lab,300000000.0,6268456.332156999,0.011,0.00275,0.0,0.0,Other,"N.G.Zaitseva,ET.AL. (62) ",A0916,9,No Pointer,52,"52-TE-125(P,2P)51-SB-124,,SIG","Investigation of nuclear reactions of the (p,xn) and (p,2pxn) type on separated tellurium isotopes.",1962,N.G.Zaitseva+,4ZZZDUB,2012/01/03,"Jour. Applied Radiation and Isotopes Vol.55, p.149, 2001",A0916009,A0916,"(J,ARI,55,149,2001)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103559,proton,All_or_Total,111,All_or_Total,Other,Lab,480000000.0,10029530.1314512,0.0126,0.00315,0.0,0.0,Other,"N.G.Zaitseva,ET.AL. (62) ",A0916,9,No Pointer,52,"52-TE-125(P,2P)51-SB-124,,SIG","Investigation of nuclear reactions of the (p,xn) and (p,2pxn) type on separated tellurium isotopes.",1962,N.G.Zaitseva+,4ZZZDUB,2012/01/03,"Jour. Applied Radiation and Isotopes Vol.55, p.149, 2001",A0916009,A0916,"(J,ARI,55,149,2001)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103560,proton,All_or_Total,111,All_or_Total,Other,Lab,660000000.0,13790603.9307454,0.02,0.005,0.0,0.0,Other,"N.G.Zaitseva,ET.AL. (62) ",A0916,9,No Pointer,52,"52-TE-125(P,2P)51-SB-124,,SIG","Investigation of nuclear reactions of the (p,xn) and (p,2pxn) type on separated tellurium isotopes.",1962,N.G.Zaitseva+,4ZZZDUB,2012/01/03,"Jour. Applied Radiation and Isotopes Vol.55, p.149, 2001",A0916009,A0916,"(J,ARI,55,149,2001)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103561,proton,All_or_Total,152,All_or_Total,Other,Lab,100500000.0,200000.0,0.08,0.01,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,6,No Pointer,52,"52-TE-125(P,5N)53-I-121,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Applied Radiation and Isotopes Vol.55, p.149, 2001",A0215006,A0215,"(J,ARI,55,149,2001)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103562,proton,All_or_Total,152,All_or_Total,Other,Lab,90800000.0,300000.0,0.096,0.012,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,6,No Pointer,52,"52-TE-125(P,5N)53-I-121,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Applied Radiation and Isotopes Vol.55, p.149, 2001",A0215006,A0215,"(J,ARI,55,149,2001)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103563,proton,All_or_Total,152,All_or_Total,Other,Lab,80900000.0,400000.0,0.126,0.016,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,6,No Pointer,52,"52-TE-125(P,5N)53-I-121,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Applied Radiation and Isotopes Vol.55, p.149, 2001",A0215006,A0215,"(J,ARI,55,149,2001)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103564,proton,All_or_Total,152,All_or_Total,Other,Lab,70900000.0,500000.0,0.223,0.029,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,6,No Pointer,52,"52-TE-125(P,5N)53-I-121,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Applied Radiation and Isotopes Vol.55, p.149, 2001",A0215006,A0215,"(J,ARI,55,149,2001)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103565,proton,All_or_Total,152,All_or_Total,Other,Lab,65200000.0,200000.0,0.236,0.031,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,6,No Pointer,52,"52-TE-125(P,5N)53-I-121,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Applied Radiation and Isotopes Vol.55, p.149, 2001",A0215006,A0215,"(J,ARI,55,149,2001)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103566,proton,All_or_Total,152,All_or_Total,Other,Lab,61000000.0,200000.0,0.443,0.058,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,6,No Pointer,52,"52-TE-125(P,5N)53-I-121,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Applied Radiation and Isotopes Vol.55, p.149, 2001",A0215006,A0215,"(J,ARI,55,149,2001)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103567,proton,All_or_Total,152,All_or_Total,Other,Lab,54300000.0,300000.0,0.434,0.056,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,6,No Pointer,52,"52-TE-125(P,5N)53-I-121,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Applied Radiation and Isotopes Vol.55, p.149, 2001",A0215006,A0215,"(J,ARI,55,149,2001)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103568,proton,All_or_Total,152,All_or_Total,Other,Lab,48800000.0,300000.0,0.29,0.038,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,6,No Pointer,52,"52-TE-125(P,5N)53-I-121,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Applied Radiation and Isotopes Vol.55, p.149, 2001",A0215006,A0215,"(J,ARI,55,149,2001)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103569,proton,All_or_Total,152,All_or_Total,Other,Lab,43800000.0,400000.0,0.046,0.006,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,6,No Pointer,52,"52-TE-125(P,5N)53-I-121,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Applied Radiation and Isotopes Vol.55, p.149, 2001",A0215006,A0215,"(J,ARI,55,149,2001)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103570,proton,All_or_Total,153,Ground,Other,Lab,100500000.0,200000.0,0.057,0.009,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,7,No Pointer,52,"52-TE-125(P,6N)53-I-120-G,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Applied Radiation and Isotopes Vol.55, p.149, 2001",A0215007,A0215,"(J,ARI,55,149,2001)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
