,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
107598,proton,All_or_Total,9000,All_or_Total,Other,Lab,1700000000.0,43333733.98967535,0.047,0.007,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,11,No Pointer,55,"55-CS-CMP(P,X)53-I-126,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768011,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107599,proton,All_or_Total,9000,All_or_Total,Other,Lab,200000000.0,5098086.351726512,0.021,0.003,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,12,No Pointer,55,"55-CS-CMP(P,X)53-I-124,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768012,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107600,proton,All_or_Total,9000,All_or_Total,Other,Lab,1200000000.0,30588518.110359076,0.02,0.009,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,12,No Pointer,55,"55-CS-CMP(P,X)53-I-124,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768012,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107601,proton,All_or_Total,9000,All_or_Total,Other,Lab,1700000000.0,43333733.98967535,0.019,0.001,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,12,No Pointer,55,"55-CS-CMP(P,X)53-I-124,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768012,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107602,proton,All_or_Total,9000,All_or_Total,Other,Lab,200000000.0,5098086.351726512,0.0113,0.0013,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,13,No Pointer,55,"55-CS-CMP(P,X)53-I-119,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768013,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107603,proton,All_or_Total,9000,All_or_Total,Other,Lab,1000000000.0,25490431.75863256,0.011,0.004,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,13,No Pointer,55,"55-CS-CMP(P,X)53-I-119,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768013,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107604,proton,All_or_Total,9000,All_or_Total,Other,Lab,1200000000.0,30588518.110359076,0.00804,9e-05,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,13,No Pointer,55,"55-CS-CMP(P,X)53-I-119,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768013,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107605,proton,All_or_Total,9000,M,Other,Lab,200000000.0,5098086.351726512,0.007,0.003,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,14,No Pointer,55,"55-CS-CMP(P,X)52-TE-121-M,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768014,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107606,proton,All_or_Total,9000,M,Other,Lab,200000000.0,5098086.351726512,0.0057,0.0006,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,15,No Pointer,55,"55-CS-CMP(P,X)52-TE-119-M,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768015,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107607,proton,All_or_Total,9000,M,Other,Lab,1200000000.0,30588518.110359076,0.00804,9e-05,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,15,No Pointer,55,"55-CS-CMP(P,X)52-TE-119-M,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768015,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107608,proton,All_or_Total,9000,M,Other,Lab,1700000000.0,43333733.98967535,0.00337,8e-05,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,15,No Pointer,55,"55-CS-CMP(P,X)52-TE-119-M,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768015,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107609,proton,All_or_Total,9000,All_or_Total,Other,Lab,200000000.0,5098086.351726512,0.009,0.004,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,16,No Pointer,55,"55-CS-CMP(P,X)52-TE-117,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768016,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107610,proton,All_or_Total,9000,All_or_Total,Other,Lab,1200000000.0,30588518.110359076,0.0142,0.001,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,16,No Pointer,55,"55-CS-CMP(P,X)52-TE-117,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768016,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107611,proton,All_or_Total,9000,All_or_Total,Other,Lab,1700000000.0,43333733.98967535,0.009,0.003,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,16,No Pointer,55,"55-CS-CMP(P,X)52-TE-117,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768016,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107612,proton,All_or_Total,9000,All_or_Total,Other,Lab,1700000000.0,43333733.98967535,0.006,0.003,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,16,No Pointer,55,"55-CS-CMP(P,X)52-TE-117,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768016,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107613,proton,All_or_Total,9000,All_or_Total,Other,Lab,200000000.0,5098086.351726512,0.005,0.0006,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,17,No Pointer,55,"55-CS-CMP(P,X)51-SB-122,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768017,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107614,proton,All_or_Total,9000,All_or_Total,Other,Lab,1200000000.0,30588518.110359076,0.0042,0.0012,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,17,No Pointer,55,"55-CS-CMP(P,X)51-SB-122,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768017,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107615,proton,All_or_Total,9000,All_or_Total,Other,Lab,1700000000.0,43333733.98967535,0.0019,0.0006,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,17,No Pointer,55,"55-CS-CMP(P,X)51-SB-122,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768017,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107616,proton,All_or_Total,9000,M,Other,Lab,200000000.0,5098086.351726512,0.0018,0.0003,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,18,No Pointer,55,"55-CS-CMP(P,X)51-SB-120-M,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768018,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107617,proton,All_or_Total,9000,M,Other,Lab,1700000000.0,43333733.98967535,0.0039,0.0003,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,18,No Pointer,55,"55-CS-CMP(P,X)51-SB-120-M,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768018,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
107618,proton,All_or_Total,9000,M,Other,Lab,200000000.0,5098086.351726512,0.008,0.003,0.0,0.0,Other,"E.Porras,ET.AL. (00)     ",O0768,19,No Pointer,55,"55-CS-CMP(P,X)51-SB-116-M,IND,SIG",Production rate of proton-induced isotopes in different materials.,2000,E.Porras+,2SPNVAL,2004/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.160, p.73, 2000",O0768019,O0768,"(J,NIM/B,160,73,2000)",1,1,0,133Cs,Cs,78,133,N,6.380585902501829,0.1253803353209804,Other,-87481.04250000001,0.012,8404.312000000002,0.0,770.69,0.648,132905000.0,0.0125,16017.945,3.005,15485.885,2.335,-2184.325,3.17,-2124.525,23.935,-8989.135,5.25,-7558.045,1.02,7940.555,0.525,6308.745,1.205,-9248.255,16.41,12076.02,0.015,6530.025,0.015,5354.785,1.885,-6308.745,-7940.555,-13995.0739,-11770.5079,-13283.8399,-15222.8344,-15485.885,-16017.945,-2184.325,-11.656500000000053,-6308.745,-7940.555,-5715.989,-8340.391499999998,-7536.1501,-6277.033500000001,-8206.7885,-6308.745,-4084.179,-7940.555,-5513.278900000001,-7767.8446,-1683.3259999999996,-815.2705999999996,752.0980000000001,12637.0644,13505.119900000002
